gene_name,glu1,glu2,glu6,glu7,glu11,glu12,gly1,gly2,gly6,gly7,gly11,gly12
ybcH,-1.14456266,-1.14456266,-0.081165644,-0.233394293,-0.340399338,-0.005082435,-1.14456266,0.10884003,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybcJ,3.396246232,3.682562565,3.447847771,3.213392485,3.539903693,3.130238383,2.577489015,2.660811997,3.965832754,2.336112447,3.051855849,3.096523317
ybcK,-1.14456266,-1.14456266,0.328725926,0.387042983,-0.340399338,0.23446579,-1.14456266,-1.14456266,-1.14456266,0.261889892,-1.14456266,-1.14456266
ybcL,1.50675362,2.244134095,2.918707025,3.123394332,2.009543656,1.296115878,3.188788908,3.369365381,3.043839098,2.885061637,2.440603361,1.898039616
ybcM,1.005901477,0.490617291,0.864408982,1.07954682,1.584796819,1.101997975,1.481501414,2.044750511,2.577877013,2.03916712,0.400375956,2.231895253
ybcN,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,0.57980147,0.396002577,-1.14456266,-1.14456266,-1.14456266
ybcO,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266,0.10884003,-1.14456266,-1.14456266,0.400375956,-1.14456266
ybcR,0.658708418,-1.14456266,-1.14456266,-0.233394293,-0.165749464,-0.005082435,0.154497435,-1.14456266,-1.14456266,0.261889892,0.955758142,-1.14456266
ybcT,-1.14456266,0.04093922,-1.14456266,-1.14456266,0.3162332,-0.328638789,-1.14456266,1.181552541,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybcU,7.038819918,7.778590475,8.469191407,8.193689245,6.709630482,6.804005339,5.782009402,7.199729636,7.56690394,7.194338906,5.841781919,6.004550859
ybcW,-1.14456266,0.04093922,-1.14456266,0.387042983,-1.14456266,-1.14456266,0.154497435,-1.14456266,-1.14456266,-1.14456266,-1.14456266,-1.14456266
ybdA,1.50675362,3.311530153,3.378087341,3.638246641,3.408688896,2.815880163,0.639427359,3.150115972,3.470749835,1.142112545,1.641516703,2.501831767
ybdB,1.872409522,3.607987039,4.539892996,4.081675695,2.492457405,2.861011562,2.669780771,4.527669483,3.314863079,3.798131235,1.341744444,3.515622458
ybdD,1.872409522,1.284323171,-1.14456266,0.59996766,0.648269063,0.810426666,3.569134251,2.574940804,2.271761073,2.195417295,2.096977156,3.389035879
ybdF,2.607531025,1.777799163,1.977337143,0.780805482,1.782847418,1.543254621,2.258187993,1.909857469,0.396002577,1.662278962,1.887696574,1.898039616
